id,parent_id/id,code,name,user_type_id/id,reconcile,company_ids/id,chart_template_id/id
ka6012U63,ka421240U00,6012.U63,Pengolahan lahan,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6012U70,ka421240U00,6012.U70,Tebang & angkut,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6012U94,ka421240U00,6012.U94,Penjualan bibit k/petani TR,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6012U95,ka421240U00,6012.U95,Pemakaian bibit/penangkaran,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6012U96,ka421240U00,6012.U96,Bibit digiling (onderenden),account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka421250U00,ka421200U00,421250.U00,KBD,ka_account.data_account_type_view,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6013U60,ka421250U00,6013.U60,Kerja Sama Penggunaan Lahan,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6013U61,ka421250U00,6013.U61,Pembelian dan pembebanan Bibit,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6013U62,ka421250U00,6013.U62,Kebutuhan pupuk,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6013U63,ka421250U00,6013.U63,Pengolahan lahan,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6013U70,ka421250U00,6013.U70,Tebang & angkut,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6013U94,ka421250U00,6013.U94,Penjualan bibit k/petani TR,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6013U95,ka421250U00,6013.U95,Pemakaian bibit/penangkaran,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6013U96,ka421250U00,6013.U96,Bibit digiling (onderenden),account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka421260U00,ka421200U00,421260.U00,Pengenalan Jenis,ka_account.data_account_type_view,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
